Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Limavad,Lderry,55.0455,-6.9337,2008,10-Jan,,
Limavad,Lderry,55.0455,-6.9337,2010,15-Oct,,
Limavad,Lderry,55.0455,-6.9337,2012,10-Jan,,9.08
Limavad,Lderry,55.0455,-6.9337,2014,14-Oct,,10.01
Limavad,Lderry,55.0455,-6.9337,2015,14-Oct,332,13.64
Limavad,Lderry,55.0455,-6.9337,2016,20-Oct,,
Limavad,Lderry,55.0455,-6.9337,2017,24-Oct,,
Limavady,Londonderry,55.0455,-6.9337,2003,10-Jan,,
Limavady,Lderry,55.0455,-6.9337,2006,10-Jan,,
LIMA'Y,LDERRY,55.0455,-6.9337,2002,10-Jan,,
Little Saxham,Suffolk,52.2421,0.6353,2004,10-Jan,,
Little Staughton,Bedfordshire,52.2504,-0.3821,2004,10-Jan,,
Little Staughton,Bedfordshire,52.2504,-0.3821,2005,10-Jan,,
Lockbie,Dumfrs,55.1222,-3.3489999999999998,2006,10-Jan,,
Lockerbie,Dumf/Gal.,55.1222,-3.3489999999999998,2003,10-Jan,,
Lockerbie,Dumfries and Galloway,55.1222,-3.3489999999999998,2004,10-Jan,,
Lockerbie,Dumfries and Galloway,55.1222,-3.3489999999999998,2005,10-Jan,,
LStaugh,Beds,52.2504,-0.3821,2006,10-Jan,,
Luthermr,Aberdn,56.8063,-2.5565,2012,10-Jan,337,9.1
Luthermr,Aberdn,56.8063,-2.5565,2013,11-Aug,292,7.41
Luthermr,Aberdn,56.8063,-2.5565,2014,10-Dec,313,6.64
Luthermr,Aberdn,56.8063,-2.5565,2015,10-Jan,342,7.75
Lymm,Ches,53.3817,-2.48,2007,10-Jan,,
Lymm,Ches,53.3817,-2.48,2008,10-Jan,,
Lymm,Ches,53.3817,-2.48,2010,14-Oct,,
Lymm,Ches,53.3817,-2.48,2012,10-Jan,316,8.45
Malton,N Yorks.,54.1368,-0.7979,2003,10-Jan,,
ME MOW,LEICS,52.7664,-0.8871,2002,10-Jan,,
Melton Mowbray,Leics,52.7664,-0.8871,2003,10-Jan,,
Mendlesham,Sufflk,52.2492,1.0798,2014,30-Oct,,11.38
Mendlesham,Sufflk,52.2492,1.0798,2015,30-Sep,,11.27
Middridge,Darltn,54.6309,-1.6145,2008,10-Jan,,
Morley,Nofk,52.5547,1.0396,2006,10-Jan,,
Morley,Norfk,52.5547,1.0396,2014,10-Jul,296,13.05
Morley,Norfk,52.5547,1.0396,2015,10-Feb,307,12.06
Morley,Norfk,52.5547,1.0396,2016,25-Sep,,
Morley St Botolph,Norfolk,52.5547,1.0396,2004,10-Jan,,
Morpeth,Northumb.,55.1687,-1.6875,2003,10-Jan,,
MORP'H,NORTHD,55.1687,-1.6875,2002,10-Jan,,
Moulton,Lincs,52.2887,-0.8534,2013,10-Dec,302,10.9
Moulton,Lincs,52.2887,-0.8534,2014,10-Aug,303,12.53
Nether Wallop,Hants,51.1263,-1.569,2016,13-Oct,,
Newch,Kent,52.1494,0.9316,2010,25-Sep,,
Newchurch,Kent,52.1494,0.9316,2005,10-Jan,,
Newport,Shrops,51.5842,-2.9977,2011,10-Aug,,
North Dalton,EYorks,53.9571,-0.578,2017,10-Apr,,
OLD'M,ABER,57.33492,-2.3199,2002,10-Jan,,
Ormskirk,Lancs.,53.5689,-2.8851,2003,10-Jan,,
OTLEY,SUFF,52.1513,1.2202,2002,10-Jan,,
Ottham,Eyorks,51.2522,-0.6401,2008,10-Jan,,
Perth,Prth&K,56.395,-3.4308,2007,10-Jan,,
Perth,Prth&K,56.395,-3.4308,2008,10-Jan,,
Petham,Kent,51.223,1.0459,2012,10-Jan,310,10.88
Petham,Kent,51.223,1.0459,2014,17-Oct,287,9.16
Petham,Kent,51.223,1.0459,2016,10-Apr,,
Pinchbeck,Lincs,52.8137,-0.1588,2016,10-Nov,,
Pottn,Aberdn,57.232,-2.0912,2007,10-Jan,,
Quham,Norfk,52.4453,0.9840000000000001,2007,10-Jan,,
Quidenham,Norfolk,52.4453,0.9840000000000001,2004,10-Jan,,
Quidenham,Norfolk,52.4453,0.9840000000000001,2005,10-Jan,,
Ragnal,Nottinghamshire,53.2556,-0.7963,2004,10-Jan,,
Ragnall,Nottinghamshire,53.2556,-0.7963,2005,10-Jan,,
Ragnall,Notts,53.2556,-0.7963,2006,10-Jan,,
Redwrth,Darltn,54.6054,-1.6293,2006,10-Jan,,
Redwrth,Darltn,54.6054,-1.6293,2007,10-Jan,,
Rhynd,Perth and Kinross,56.3653,-3.3657,2004,10-Jan,,
Rhynd,Perth & Kinross,56.3653,-3.3657,2005,10-Jan,,
Rhynd,Prth&K,56.3653,-3.3657,2006,10-Jan,,
Rudston,EYorks,54.0895,-0.3231,2006,10-Jan,,
Rudston,EYorks,54.0895,-0.3231,2007,10-Jan,,
Rudston,EYorks,54.0895,-0.3231,2009,10-Oct,,
Saltoun,ELoth,55.8976,-2.8646,2017,29-Sep,,
Sancton,EYorks,53.842,-0.6317,2012,10-Jan,,8.4
Sancton,EYorks,53.842,-0.6317,2014,10-Nov,306,10.36
Sandringm,Norfk,52.8269,0.5186,2011,13-Oct,,
SClims,Cornwl,50.5472,-4.316,2016,20-Oct,,
SLEAF,LINCS,53.0003,-0.4096,2002,10-Jan,,
Sleaford,Lincs.,53.0003,-0.4096,2003,10-Jan,,
SPALD,LINCS,52.7901,-0.1537,2002,10-Jan,,
Spalding,Lincs.,52.7901,-0.1537,2003,10-Jan,,
Spalding,Lincolnshire,52.7901,-0.1537,2004,10-Jan,,
Spalding,Lincolnshire,52.7901,-0.1537,2005,10-Jan,,
Spalding,Lincs,52.7901,-0.1537,2006,10-Jan,,
Spalding,Lincs,52.7901,-0.1537,2007,10-Jan,,
Spalding,Lincs,52.7901,-0.1537,2015,10-Mar,,9.2
Spalding,Lincs,52.7901,-0.1537,2017,10-Jul,,
StBosw,ScBord,55.5708,-2.6475,2010,10-Jan,,
StBosw,ScBord,55.5708,-2.6475,2012,10-Jan,342,7.28
StBosw,ScBord,55.5708,-2.6475,2013,10-Sep,322,10.27
StBosw,ScBord,55.5708,-2.6475,2014,30-Sep,324,12.59
StBosw,ScBord,55.5708,-2.6475,2015,25-Sep,341,14.38
StBosw,ScBord,55.5708,-2.6475,2016,27-Nov,,
Stchwrth,Cambs,52.1992,0.3994,2010,14-Oct,,
Stchwrth,Cambs,52.1992,0.3994,2011,21-Oct,,
Stchwrth,Cambs,52.1992,0.3994,2012,10-Jan,299,7.82
Stowmarket,Suffolk,52.1889,0.9977,2005,10-Jan,,
Stowmrkt,Sufflk,52.1889,0.9977,2013,17-Oct,302,10.1
Swindon,Wilts.,51.5558,-1.7797,2003,10-Jan,,
Swindon,Wilts.,51.5558,-1.7797,2004,10-Jan,,
Tadcaster,N Yorks.,53.8836,-1.2609,2003,10-Jan,,
TADC'R,N YRKS,53.8836,-1.2609,2002,10-Jan,,
Telford,Shrops.,52.6784,-2.4453,2003,10-Jan,,
Telford,Shropshire,52.6784,-2.4453,2005,10-Jan,,
Telford,Shrops,52.6784,-2.4453,2006,10-Jan,,
Telford,Shrops,52.6784,-2.4453,2007,10-Jan,,
T'FORD,SHROPS,52.6784,-2.4453,2002,10-Jan,,
Thaxted,Essex,51.9533,0.3446,2016,10-Sep,,
Thaxted,Essex,51.9533,0.3446,2017,10-Aug,,
Thwing,EYorks,54.1158,-0.3903,2008,10-Jan,,
Tibthorpe,EYorks,53.9836,-0.5368,2016,10-Mar,,
Todngton,Gloucs,51.9485,-0.5324,2006,10-Jan,,
TRawstn,Dorset,50.8575,-2.0897,2006,10-Jan,,
TRawstn,Dorset,50.8575,-2.0897,2007,10-Jan,,
Ulceby,NLincs,53.618,-0.3306,2007,10-Jan,,
Ulceby,NLincs,53.618,-0.3306,2009,10-Sep,,
Ulceby,NLincs,53.618,-0.3306,2010,24-Sep,,
Ulceby,NLincs,53.618,-0.3306,2011,10-Nov,,
Ulceby,NLincs,53.618,-0.3306,2012,10-Jan,320,6.8
Ulceby,NLincs,53.618,-0.3306,2013,10-Feb,321,10.95
Ulceby,NLincs,53.618,-0.3306,2014,28-Sep,314,11.74
Ulceby,NLincs,53.618,-0.3306,2015,10-Mar,325,10.04
Ulceby,Lincs,53.618,-0.3306,2016,10-Nov,,
Ulceby,Lincs,53.618,-0.3306,2017,26-Oct,,
Up Somborne,Hampshire,51.0884,-1.4321,2004,10-Jan,,
Up Somborne,Hampshire,51.0884,-1.4321,2005,10-Jan,,
UpSomb,Hants,51.0884,-1.4321,2006,10-Jan,,
UpSomb,Hants,51.0884,-1.4321,2007,10-Jan,,
WARM'R,WILTS,51.2046,0.191,2002,10-Jan,,
Warwick,Warks.,52.2823,-1.5849,2003,10-Jan,,
Warwick,Warwickshire,52.2823,-1.5849,2004,10-Jan,,
Waterbeach,Cambs.,52.2656,0.191,2003,10-Jan,,
