Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Lockbie,Dumfrs,55.1222,-3.349,2006,10/1,313.67,9.88
Lockerbie,Dumf/Gal.,55.1222,-3.349,2003,10/1,317,9.79
Lockerbie,Dumfries and Galloway,55.1222,-3.349,2004,10/1,327,11.13
Lockerbie,Dumfries and Galloway,55.1222,-3.349,2005,10/1,310,9.48
LStaugh,Beds,52.2504,-0.3821,2006,10/1,,10.81
Luthermr,Aberdn,56.8063,-2.5565,2012,10/1,,
Luthermr,Aberdn,56.8063,-2.5565,2013,11/8,,
Luthermr,Aberdn,56.8063,-2.5565,2014,10/12,,
Luthermr,Aberdn,56.8063,-2.5565,2015,10/1,,
Lymm,Ches,53.3817,-2.48,2007,10/1,,7.26
Lymm,Ches,53.3817,-2.48,2008,10/1,,10.8
Lymm,Ches,53.3817,-2.48,2010,14/10,,10.4
Lymm,Ches,53.3817,-2.48,2012,10/1,,
Malton,N Yorks.,54.1368,-0.7979,2003,10/1,,11.98
ME MOW,LEICS,52.7664,-0.8871,2002,10/1,,11.78
Melton Mowbray,Leics,52.7664,-0.8871,2003,10/1,279,12.64
Mendlesham,Sufflk,52.2492,1.0798,2014,30/10,,
Mendlesham,Sufflk,52.2492,1.0798,2015,30/9,,
Middridge,Darltn,54.6309,-1.6145,2008,10/1,,10.29
Morley,Nofk,52.5547,1.0396,2006,10/1,288,8.56
Morley,Norfk,52.5547,1.0396,2014,10/7,,
Morley,Norfk,52.5547,1.0396,2015,10/2,,
Morley,Norfk,52.5547,1.0396,2016,25/9,,
Morley St Botolph,Norfolk,52.5547,1.0396,2004,10/1,,12.58
MORP'H,NORTHD,55.1687,-1.6875,2002,10/1,,10.18
Morpeth,Northumb.,55.1687,-1.6875,2003,10/1,,8.41
Moulton,Lincs,52.2887,-0.8534,2013,10/12,,
Moulton,Lincs,52.2887,-0.8534,2014,10/8,,
Nether Wallop,Hants,51.1263,-1.569,2016,13/10,,
Newch,Kent,52.1494,0.9316,2010,25/9,310,15
Newchurch,Kent,52.1494,0.9316,2005,10/1,,12.54
Newport,Shrops,51.5842,-2.9977,2011,10/8,,
North Dalton,EYorks,53.9571,-0.578,2017,10/4,,
OLD'M,ABER,57.33492,-2.3199,2002,10/1,346,9.59
Ormskirk,Lancs.,53.5689,-2.8851,2003,10/1,,10.99
OTLEY,SUFF,52.1513,1.2202,2002,10/1,300,7.93
Ottham,Eyorks,51.2522,-0.6401,2008,10/1,,11.78
Perth,Prth&K,56.395,-3.4308,2007,10/1,,10.58
Perth,Prth&K,56.395,-3.4308,2008,10/1,,10.61
Petham,Kent,51.223,1.0459,2012,10/1,,
Petham,Kent,51.223,1.0459,2014,17/10,,
Petham,Kent,51.223,1.0459,2016,10/4,,
Pinchbeck,Lincs,52.8137,-0.1588,2016,10/11,,
Pottn,Aberdn,57.232,-2.0912,2007,10/1,356,10.34
Quham,Norfk,52.4453,0.984,2007,10/1,,9.78
Quidenham,Norfolk,52.4453,0.984,2004,10/1,307,11.06
